id,EVENT_UNIQUE_ID,OCCURRENCE_DATE,OCCURRENCE_YEAR,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,PRIMARY_OFFENCE,HOOD_158,ARREST_MADE,MULTIPLE_BIAS
1,783694,2018-05-06,2018,Other,TRUE,TRUE,Black,Latino,Spanish,Buddhist,2SLGBT,Female,Assault,12,FALSE,TRUE
2,880728,2023-04-15,2023,Residential,TRUE,TRUE,None,Arab,Mandarin,Other,None,Transgender,Vandalism,114,TRUE,TRUE
3,602438,2019-08-14,2019,Other,TRUE,TRUE,South Asian,Chinese,Mandarin,Christian,None,None,Vandalism,136,TRUE,TRUE
4,227284,2021-01-02,2021,Commercial,FALSE,TRUE,White,Latino,English,Christian,None,Female,Assault,68,FALSE,TRUE
5,779441,2023-05-01,2023,Other,TRUE,FALSE,South Asian,Chinese,None,Jewish,None,Transgender,Vandalism,52,FALSE,TRUE
6,315126,2021-11-11,2021,Other,FALSE,FALSE,Asian/Southeast Asian,Arab,Arabic,None,Gay,Female,Harassment,11,FALSE,TRUE
7,117144,2020-10-10,2020,Other,TRUE,TRUE,South Asian,Arab,None,Buddhist,Gay,Male,Threat,85,TRUE,TRUE
8,206370,2023-05-18,2023,Public,FALSE,FALSE,Black,African,Hindi,Christian,Gay,Transgender,Threat,132,FALSE,TRUE
9,501878,2023-08-30,2023,Other,FALSE,TRUE,None,Arab,Mandarin,Christian,2SLGBT,Male,Vandalism,99,FALSE,TRUE
10,654903,2021-11-13,2021,Public,FALSE,FALSE,Black,Chinese,Arabic,Other,Gay,Transgender,Harassment,12,FALSE,TRUE
11,283739,2018-12-30,2018,Public,TRUE,FALSE,White,Japanese,None,Jewish,None,Male,Harassment,152,TRUE,TRUE
12,643613,2023-08-22,2023,Public,TRUE,FALSE,Asian/Southeast Asian,Arab,Arabic,None,Gay,Female,Vandalism,27,FALSE,TRUE
13,703741,2018-07-29,2018,Residential,FALSE,FALSE,Black,Afghan,Mandarin,Christian,2SLGBT,Female,Harassment,53,TRUE,TRUE
14,575661,2023-05-24,2023,Other,TRUE,TRUE,South Asian,Afghan,Mandarin,Buddhist,None,None,Harassment,38,TRUE,TRUE
15,661269,2019-04-25,2019,Commercial,FALSE,FALSE,Asian/Southeast Asian,Afghan,English,Jewish,Gay,Transgender,Assault,14,FALSE,TRUE
16,896138,2022-07-30,2022,Residential,FALSE,TRUE,South Asian,African,None,None,2SLGBT,Male,Harassment,118,FALSE,TRUE
17,629296,2019-07-27,2019,Residential,TRUE,TRUE,Black,African,Mandarin,Buddhist,2SLGBT,Male,Harassment,64,FALSE,TRUE
18,293943,2019-06-24,2019,Public,FALSE,FALSE,None,Japanese,English,Christian,None,Female,Harassment,121,TRUE,TRUE
19,795312,2020-06-22,2020,Other,FALSE,FALSE,White,None,None,None,2SLGBT,Female,Vandalism,158,TRUE,TRUE
20,510356,2023-09-14,2023,Other,TRUE,FALSE,Black,African,Spanish,Jewish,None,Female,Assault,11,TRUE,TRUE
21,568422,2020-12-15,2020,Public,TRUE,FALSE,Black,None,Mandarin,Muslim,Gay,Transgender,Harassment,127,TRUE,TRUE
22,201861,2022-01-26,2022,Other,FALSE,FALSE,White,Chinese,None,Muslim,2SLGBT,Transgender,Vandalism,73,FALSE,TRUE
